date,country,sector,indicator,commodity,value,unit,source,domain,file_source,yoy_change
2000-06-01,World,agriculture,Production,Cattle,285331.0,1000 Head,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Cattle,283520.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-0.6347014519978544
2002-06-01,World,agriculture,Production,Cattle,286882.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.1858069977426666
2003-06-01,World,agriculture,Production,Cattle,287278.0,1000 Head,USDA PSD,agriculture,crop_production_processed,0.13803584749130238
2004-06-01,World,agriculture,Production,Cattle,291981.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.6370902053063574
2005-06-01,World,agriculture,Production,Cattle,287703.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-1.465163829153271
2006-06-01,World,agriculture,Production,Cattle,285705.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-0.6944661682359965
2007-06-01,World,agriculture,Production,Cattle,290774.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.7742076617490055
2008-06-01,World,agriculture,Production,Cattle,286047.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-1.6256611664041465
2009-06-01,World,agriculture,Production,Cattle,285376.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-0.23457683527532414
2010-06-01,World,agriculture,Production,Cattle,277186.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-2.869897959183676
2011-06-01,World,agriculture,Production,Cattle,278615.0,1000 Head,USDA PSD,agriculture,crop_production_processed,0.5155383028002891
2012-06-01,World,agriculture,Production,Cattle,280287.0,1000 Head,USDA PSD,agriculture,crop_production_processed,0.6001112646483397
2013-06-01,World,agriculture,Production,Cattle,284883.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.6397478299029267
2014-06-01,World,agriculture,Production,Cattle,288768.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.363717736755099
2015-06-01,World,agriculture,Production,Cattle,284569.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-1.454108488475181
2016-06-01,World,agriculture,Production,Cattle,277993.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-2.3108630947151654
2017-06-01,World,agriculture,Production,Cattle,283424.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.9536463148352556
2018-06-01,World,agriculture,Production,Cattle,283871.0,1000 Head,USDA PSD,agriculture,crop_production_processed,0.15771423732640066
2019-06-01,World,agriculture,Production,Cattle,290205.0,1000 Head,USDA PSD,agriculture,crop_production_processed,2.2312952009891918
2020-06-01,World,agriculture,Production,Cattle,290465.0,1000 Head,USDA PSD,agriculture,crop_production_processed,0.08959184025085776
2021-06-01,World,agriculture,Production,Cattle,286382.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-1.4056771039540061
2022-06-01,World,agriculture,Production,Cattle,290358.0,1000 Head,USDA PSD,agriculture,crop_production_processed,1.3883554133988785
2023-06-01,World,agriculture,Production,Cattle,289431.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-0.31926105015188666
2024-06-01,World,agriculture,Production,Cattle,285499.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-1.3585275937960994
2025-06-01,World,agriculture,Production,Cattle,283790.0,1000 Head,USDA PSD,agriculture,crop_production_processed,-0.5986010458880808
2000-06-01,World,agriculture,Production,Corn,591538.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Corn,601652.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.7097802677089158
2002-06-01,World,agriculture,Production,Corn,604110.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.40854181486973395
2003-06-01,World,agriculture,Production,Corn,627532.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.8771084736223482
2004-06-01,World,agriculture,Production,Corn,716904.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,14.2418235245374
2005-06-01,World,agriculture,Production,Corn,699896.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.372423643890953
2006-06-01,World,agriculture,Production,Corn,715299.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.2007555408232182
2007-06-01,World,agriculture,Production,Corn,798462.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,11.626326892670068
2008-06-01,World,agriculture,Production,Corn,806306.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.9823886421645556
2009-06-01,World,agriculture,Production,Corn,833716.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.3994538053790935
2010-06-01,World,agriculture,Production,Corn,849170.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.8536288136487666
2011-06-01,World,agriculture,Production,Corn,910355.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,7.205271029358085
2012-06-01,World,agriculture,Production,Corn,903265.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.7788170548851836
2013-06-01,World,agriculture,Production,Corn,1033821.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,14.453787094595727
2014-06-01,World,agriculture,Production,Corn,1061041.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.632950965399239
2015-06-01,World,agriculture,Production,Corn,1021192.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-3.7556512896297134
2016-06-01,World,agriculture,Production,Corn,1129359.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,10.592229473008018
2017-06-01,World,agriculture,Production,Corn,1087284.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-3.7255646787248353
2018-06-01,World,agriculture,Production,Corn,1132822.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.188234168809624
2019-06-01,World,agriculture,Production,Corn,1128285.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.40050422749557946
2020-06-01,World,agriculture,Production,Corn,1134439.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5454295678839927
2021-06-01,World,agriculture,Production,Corn,1221050.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,7.634698736556134
2022-06-01,World,agriculture,Production,Corn,1165641.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-4.537815814258217
2023-06-01,World,agriculture,Production,Corn,1230733.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.584223616019002
2024-06-01,World,agriculture,Production,Corn,1225295.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.44185050697429507
2025-06-01,World,agriculture,Production,Corn,1263660.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.131082718855449
2000-06-01,World,agriculture,Production,Rice,399325.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Rice,399518.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.04833155950667578
2002-06-01,World,agriculture,Production,Rice,377979.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-5.391246451974629
2003-06-01,World,agriculture,Production,Rice,392368.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.8068252469052544
2004-06-01,World,agriculture,Production,Rice,401016.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.2040533376829874
2005-06-01,World,agriculture,Production,Rice,418045.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.246463981487025
2006-06-01,World,agriculture,Production,Rice,420026.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.4738724300015651
2007-06-01,World,agriculture,Production,Rice,434115.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.3543161613804884
2008-06-01,World,agriculture,Production,Rice,450140.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.691418172604033
2009-06-01,World,agriculture,Production,Rice,440889.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-2.055138401386236
2010-06-01,World,agriculture,Production,Rice,451393.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.382459077001231
2011-06-01,World,agriculture,Production,Rice,469557.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,4.023987966140363
2012-06-01,World,agriculture,Production,Rice,476040.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.3806630504922701
2013-06-01,World,agriculture,Production,Rice,481266.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.0978069069826013
2014-06-01,World,agriculture,Production,Rice,482800.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.3187426495950163
2015-06-01,World,agriculture,Production,Rice,476741.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-1.2549710024855054
2016-06-01,World,agriculture,Production,Rice,492076.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.216631252608848
2017-06-01,World,agriculture,Production,Rice,494796.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5527601427421702
2018-06-01,World,agriculture,Production,Rice,498359.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.7200947461175833
2019-06-01,World,agriculture,Production,Rice,498705.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.06942786224388708
2020-06-01,World,agriculture,Production,Rice,509407.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,2.145958031301065
2021-06-01,World,agriculture,Production,Rice,514233.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.947376066681449
2022-06-01,World,agriculture,Production,Rice,516928.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,0.5240814961311235
2023-06-01,World,agriculture,Production,Rice,523648.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,1.2999876191655213
2024-06-01,World,agriculture,Production,Rice,541508.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,3.4106880958201025
2025-06-01,World,agriculture,Production,Rice,541273.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,-0.043397327463301494
2000-06-01,World,agriculture,Production,Soybean,175775.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,
2001-06-01,World,agriculture,Production,Soybean,184897.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,5.189588963163128
2002-06-01,World,agriculture,Production,Soybean,196827.0,1000 Metric Ton,USDA PSD,agriculture,crop_production_processed,6.452240977409041
