date,indicator,value,file_source,category
2025-07-01,UH- 기체 창정비,12763235000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,KF- RAM COATING 및 외부전면도장(D),13375520600.13,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,105밀리 연습예광탄,15899506000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,천무유도탄 수명연장 외주정비,18656521728.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,120밀리 전차 도비방지 연습예광탄,22326912000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,천무유도탄 로켓부품(방산),24960090266.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,천무유도탄 부품류(방산),30099253700.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,C-130/CN-2 기관/모듈 창정비(D),35073290162.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,F- 기관 부품(D),52177368076.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,천마 체계 외주정비(방산),208379067864.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,충격신관,15285313200.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-07-01,155mm 단위장약 등,72904819200.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,"엔진,디젤식(장개차용)",38760000000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,장애물개척전차 2차 양산,203623631149.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,천마 유도탄 체계 정비(방산),18381708864.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,"L-SAM 양산(통제소,AAM,체계통합)",140632280000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,L-SAM 양산(다기능레이더),505901459516.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,"L-SAM 양산(발사대,ABM)",731937714445.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,F-16D Wiring Harness 정비(D),10337745810.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,KUH-1 헬기 엔진 (제조),34787848662.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,해상감시레이더-II PBL 2차,12435925000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,잠수함 연료전지체계(제조),15362600000.0,bid_info_processed,High-Value (≥ 10B KRW)
2025-08-01,20mm 고폭소이 연습예광탄 등,11310339664.0,bid_info_processed,High-Value (≥ 10B KRW)
