date,indicator,value,unit,source
2000-01-01,KOSPI,943.8800048828124,index,ECOS
2000-01-01,Coincident Index,100.4,index,ECOS
2000-01-01,Leading Index,105.1,index,ECOS
2000-01-01,Leading–Coincident Spread,4.699999999999989,index,ECOS
2000-02-01,KOSPI,828.3800048828125,index,ECOS
2000-02-01,Coincident Index,100.4,index,ECOS
2000-02-01,Leading Index,105.1,index,ECOS
2000-02-01,Leading–Coincident Spread,4.699999999999989,index,ECOS
2000-03-01,KOSPI,860.9400024414062,index,ECOS
2000-03-01,Coincident Index,100.7,index,ECOS
2000-03-01,Leading Index,105.2,index,ECOS
2000-03-01,Leading–Coincident Spread,4.5,index,ECOS
2000-04-01,KOSPI,725.3900146484375,index,ECOS
2000-04-01,Coincident Index,100.9,index,ECOS
2000-04-01,Leading Index,104.5,index,ECOS
2000-04-01,Leading–Coincident Spread,3.5999999999999943,index,ECOS
2000-05-01,KOSPI,731.8800048828125,index,ECOS
2000-05-01,Coincident Index,101.4,index,ECOS
2000-05-01,Leading Index,104.2,index,ECOS
2000-05-01,Leading–Coincident Spread,2.799999999999997,index,ECOS
2000-06-01,KOSPI,821.219970703125,index,ECOS
2000-06-01,Coincident Index,101.7,index,ECOS
2000-06-01,Leading Index,104.2,index,ECOS
2000-06-01,Leading–Coincident Spread,2.5,index,ECOS
2000-07-01,KOSPI,705.969970703125,index,ECOS
2000-07-01,Coincident Index,102.6,index,ECOS
2000-07-01,Leading Index,104.1,index,ECOS
2000-07-01,Leading–Coincident Spread,1.5,index,ECOS
2000-08-01,KOSPI,688.6199951171875,index,ECOS
2000-08-01,Coincident Index,102.6,index,ECOS
2000-08-01,Leading Index,104.6,index,ECOS
2000-08-01,Leading–Coincident Spread,2.0,index,ECOS
2000-09-01,KOSPI,613.219970703125,index,ECOS
2000-09-01,Coincident Index,102.3,index,ECOS
2000-09-01,Leading Index,103.7,index,ECOS
2000-09-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS
2000-10-01,KOSPI,514.47998046875,index,ECOS
2000-10-01,Coincident Index,101.7,index,ECOS
2000-10-01,Leading Index,102.2,index,ECOS
2000-10-01,Leading–Coincident Spread,0.5,index,ECOS
2000-11-01,KOSPI,509.2300109863281,index,ECOS
2000-11-01,Coincident Index,101.2,index,ECOS
2000-11-01,Leading Index,99.7,index,ECOS
2000-11-01,Leading–Coincident Spread,-1.5,index,ECOS
2000-12-01,KOSPI,504.6199951171875,index,ECOS
2000-12-01,Coincident Index,100.7,index,ECOS
2000-12-01,Leading Index,98.4,index,ECOS
2000-12-01,Leading–Coincident Spread,-2.299999999999997,index,ECOS
2001-01-01,KOSPI,617.9099731445312,index,ECOS
2001-01-01,Coincident Index,100.3,index,ECOS
2001-01-01,Leading Index,96.9,index,ECOS
