date,currency,quote,exchange_rate,unit,source,pair
2000-01-01,EUR,KRW,1146.91,원,ECOS,EUR/KRW
2000-01-01,EUR,USD,1.0139,달러,ECOS,EUR/USD
2000-01-01,JPY,KRW,1074.52,원,ECOS,JPY/KRW
2000-01-01,USD,KRW,1131.07,원,ECOS,USD/KRW
2000-02-01,EUR,KRW,1110.74,원,ECOS,EUR/KRW
2000-02-01,EUR,USD,0.984,달러,ECOS,EUR/USD
2000-02-01,JPY,KRW,1030.93,원,ECOS,JPY/KRW
2000-02-01,USD,KRW,1128.8,원,ECOS,USD/KRW
2000-03-01,EUR,KRW,1078.11,원,ECOS,EUR/KRW
2000-03-01,EUR,USD,0.965,달러,ECOS,EUR/USD
2000-03-01,JPY,KRW,1048.11,원,ECOS,JPY/KRW
2000-03-01,USD,KRW,1117.19,원,ECOS,USD/KRW
2000-04-01,EUR,KRW,1049.39,원,ECOS,EUR/KRW
2000-04-01,EUR,USD,0.9456,달러,ECOS,EUR/USD
2000-04-01,JPY,KRW,1052.99,원,ECOS,JPY/KRW
2000-04-01,USD,KRW,1109.76,원,ECOS,USD/KRW
2000-05-01,EUR,KRW,1017.59,원,ECOS,EUR/KRW
2000-05-01,EUR,USD,0.9085,달러,ECOS,EUR/USD
2000-05-01,JPY,KRW,1036.5,원,ECOS,JPY/KRW
2000-05-01,USD,KRW,1120.01,원,ECOS,USD/KRW
2000-06-01,EUR,KRW,1061.78,원,ECOS,EUR/KRW
2000-06-01,EUR,USD,0.9491,달러,ECOS,EUR/USD
2000-06-01,JPY,KRW,1053.17,원,ECOS,JPY/KRW
2000-06-01,USD,KRW,1118.73,원,ECOS,USD/KRW
2000-07-01,EUR,KRW,1048.61,원,ECOS,EUR/KRW
2000-07-01,EUR,USD,0.9406,달러,ECOS,EUR/USD
2000-07-01,JPY,KRW,1033.62,원,ECOS,JPY/KRW
2000-07-01,USD,KRW,1114.86,원,ECOS,USD/KRW
2000-08-01,EUR,KRW,1009.99,원,ECOS,EUR/KRW
2000-08-01,EUR,USD,0.9062,달러,ECOS,EUR/USD
2000-08-01,JPY,KRW,1031.23,원,ECOS,JPY/KRW
2000-08-01,USD,KRW,1114.57,원,ECOS,USD/KRW
2000-09-01,EUR,KRW,975.68,원,ECOS,EUR/KRW
2000-09-01,EUR,USD,0.8739,달러,ECOS,EUR/USD
2000-09-01,JPY,KRW,1044.85,원,ECOS,JPY/KRW
2000-09-01,USD,KRW,1116.5,원,ECOS,USD/KRW
2000-10-01,EUR,KRW,962.15,원,ECOS,EUR/KRW
2000-10-01,EUR,USD,0.8536,달러,ECOS,EUR/USD
2000-10-01,JPY,KRW,1040.25,원,ECOS,JPY/KRW
2000-10-01,USD,KRW,1127.31,원,ECOS,USD/KRW
2000-11-01,EUR,KRW,983.55,원,ECOS,EUR/KRW
2000-11-01,EUR,USD,0.8545,달러,ECOS,EUR/USD
2000-11-01,JPY,KRW,1057.17,원,ECOS,JPY/KRW
2000-11-01,USD,KRW,1151.15,원,ECOS,USD/KRW
2000-12-01,EUR,KRW,1091.38,원,ECOS,EUR/KRW
2000-12-01,EUR,USD,0.8984,달러,ECOS,EUR/USD
2000-12-01,JPY,KRW,1083.21,원,ECOS,JPY/KRW
2000-12-01,USD,KRW,1214.4,원,ECOS,USD/KRW
2001-01-01,EUR,KRW,1196.42,원,ECOS,EUR/KRW
2001-01-01,EUR,USD,0.94,달러,ECOS,EUR/USD
2001-01-01,JPY,KRW,1088.93,원,ECOS,JPY/KRW
2001-01-01,USD,KRW,1272.82,원,ECOS,USD/KRW
2001-02-01,EUR,KRW,1154.53,원,ECOS,EUR/KRW
2001-02-01,EUR,USD,0.9218,달러,ECOS,EUR/USD
2001-02-01,JPY,KRW,1078.01,원,ECOS,JPY/KRW
2001-02-01,USD,KRW,1252.44,원,ECOS,USD/KRW
2001-03-01,EUR,KRW,1171.67,원,ECOS,EUR/KRW
2001-03-01,EUR,USD,0.9097,달러,ECOS,EUR/USD
2001-03-01,JPY,KRW,1061.62,원,ECOS,JPY/KRW
2001-03-01,USD,KRW,1288.43,원,ECOS,USD/KRW
2001-04-01,EUR,KRW,1183.73,원,ECOS,EUR/KRW
2001-04-01,EUR,USD,0.893,달러,ECOS,EUR/USD
2001-04-01,JPY,KRW,1071.0,원,ECOS,JPY/KRW
2001-04-01,USD,KRW,1325.55,원,ECOS,USD/KRW
2001-05-01,EUR,KRW,1137.12,원,ECOS,EUR/KRW
2001-05-01,EUR,USD,0.8757,달러,ECOS,EUR/USD
2001-05-01,JPY,KRW,1065.38,원,ECOS,JPY/KRW
2001-05-01,USD,KRW,1298.46,원,ECOS,USD/KRW
2001-06-01,EUR,KRW,1104.1,원,ECOS,EUR/KRW
2001-06-01,EUR,USD,0.8533,달러,ECOS,EUR/USD
2001-06-01,JPY,KRW,1058.2,원,ECOS,JPY/KRW
2001-06-01,USD,KRW,1293.83,원,ECOS,USD/KRW
2001-07-01,EUR,KRW,1121.46,원,ECOS,EUR/KRW
2001-07-01,EUR,USD,0.8658,달러,ECOS,EUR/USD
2001-07-01,JPY,KRW,1046.98,원,ECOS,JPY/KRW
2001-07-01,USD,KRW,1302.6,원,ECOS,USD/KRW
2001-08-01,EUR,KRW,1157.41,원,ECOS,EUR/KRW
2001-08-01,EUR,USD,0.9005,달러,ECOS,EUR/USD
2001-08-01,JPY,KRW,1057.22,원,ECOS,JPY/KRW
2001-08-01,USD,KRW,1285.39,원,ECOS,USD/KRW
2001-09-01,EUR,KRW,1180.07,원,ECOS,EUR/KRW
2001-09-01,EUR,USD,0.9121,달러,ECOS,EUR/USD
2001-09-01,JPY,KRW,1090.14,원,ECOS,JPY/KRW
2001-09-01,USD,KRW,1293.7,원,ECOS,USD/KRW
2001-10-01,EUR,KRW,1178.9,원,ECOS,EUR/KRW
2001-10-01,EUR,USD,0.905,달러,ECOS,EUR/USD
2001-10-01,JPY,KRW,1073.11,원,ECOS,JPY/KRW
2001-10-01,USD,KRW,1302.6,원,ECOS,USD/KRW
2001-11-01,EUR,KRW,1140.69,원,ECOS,EUR/KRW
2001-11-01,EUR,USD,0.8883,달러,ECOS,EUR/USD
2001-11-01,JPY,KRW,1049.55,원,ECOS,JPY/KRW
2001-11-01,USD,KRW,1284.0,원,ECOS,USD/KRW
2001-12-01,EUR,KRW,1150.62,원,ECOS,EUR/KRW
2001-12-01,EUR,USD,0.8922,달러,ECOS,EUR/USD
2001-12-01,JPY,KRW,1013.12,원,ECOS,JPY/KRW
2001-12-01,USD,KRW,1289.66,원,ECOS,USD/KRW
2002-01-01,EUR,KRW,1165.5,원,ECOS,EUR/KRW
2002-01-01,EUR,USD,0.8846,달러,ECOS,EUR/USD
2002-01-01,JPY,KRW,993.41,원,ECOS,JPY/KRW
2002-01-01,USD,KRW,1317.6,원,ECOS,USD/KRW
2002-02-01,EUR,KRW,1146.71,원,ECOS,EUR/KRW
2002-02-01,EUR,USD,0.8696,달러,ECOS,EUR/USD
2002-02-01,JPY,KRW,987.52,원,ECOS,JPY/KRW
2002-02-01,USD,KRW,1318.72,원,ECOS,USD/KRW
2002-03-01,EUR,KRW,1158.75,원,ECOS,EUR/KRW
2002-03-01,EUR,USD,0.8762,달러,ECOS,EUR/USD
2002-03-01,JPY,KRW,1008.73,원,ECOS,JPY/KRW
2002-03-01,USD,KRW,1322.51,원,ECOS,USD/KRW
2002-04-01,EUR,KRW,1168.21,원,ECOS,EUR/KRW
2002-04-01,EUR,USD,0.8858,달러,ECOS,EUR/USD
2002-04-01,JPY,KRW,1007.97,원,ECOS,JPY/KRW
2002-04-01,USD,KRW,1318.93,원,ECOS,USD/KRW
2002-05-01,EUR,KRW,1160.82,원,ECOS,EUR/KRW
2002-05-01,EUR,USD,0.917,달러,ECOS,EUR/USD
2002-05-01,JPY,KRW,1001.56,원,ECOS,JPY/KRW
2002-05-01,USD,KRW,1266.06,원,ECOS,USD/KRW
2002-06-01,EUR,KRW,1169.42,원,ECOS,EUR/KRW
2002-06-01,EUR,USD,0.9559,달러,ECOS,EUR/USD
2002-06-01,JPY,KRW,993.12,원,ECOS,JPY/KRW
2002-06-01,USD,KRW,1223.47,원,ECOS,USD/KRW
2002-07-01,EUR,KRW,1175.59,원,ECOS,EUR/KRW
2002-07-01,EUR,USD,0.9921,달러,ECOS,EUR/USD
2002-07-01,JPY,KRW,1003.88,원,ECOS,JPY/KRW
2002-07-01,USD,KRW,1185.12,원,ECOS,USD/KRW
2002-08-01,EUR,KRW,1170.0,원,ECOS,EUR/KRW
2002-08-01,EUR,USD,0.978,달러,ECOS,EUR/USD
2002-08-01,JPY,KRW,1004.44,원,ECOS,JPY/KRW
2002-08-01,USD,KRW,1196.37,원,ECOS,USD/KRW
