date,indicator,value,unit,source,trend_3m
2000-01-01,KOSPI,943.8800048828124,index,ECOS,
2000-01-01,Coincident Index,100.4,index,ECOS,
2000-01-01,Leading Index,105.1,index,ECOS,
2000-01-01,Leading–Coincident Spread,4.699999999999989,index,ECOS,
2000-02-01,KOSPI,828.3800048828125,index,ECOS,
2000-02-01,Coincident Index,100.4,index,ECOS,
2000-02-01,Leading Index,105.1,index,ECOS,
2000-02-01,Leading–Coincident Spread,4.699999999999989,index,ECOS,
2000-03-01,KOSPI,860.9400024414062,index,ECOS,-0.04153080996968789
2000-03-01,Coincident Index,100.7,index,ECOS,0.0014940239043824688
2000-03-01,Leading Index,105.2,index,ECOS,0.0004757373929591413
2000-03-01,Leading–Coincident Spread,4.5,index,ECOS,-0.021276595744679716
2000-04-01,KOSPI,725.3900146484375,index,ECOS,-0.05906927239141768
2000-04-01,Coincident Index,100.9,index,ECOS,0.00248707256376679
2000-04-01,Leading Index,104.5,index,ECOS,-0.0028512588047595044
2000-04-01,Leading–Coincident Spread,3.5999999999999943,index,ECOS,-0.12127659574468036
2000-05-01,KOSPI,731.8800048828125,index,ECOS,-0.07424863830559358
2000-05-01,Coincident Index,101.4,index,ECOS,0.003470749353140512
2000-05-01,Leading Index,104.2,index,ECOS,-0.004762402896283213
2000-05-01,Leading–Coincident Spread,2.799999999999997,index,ECOS,-0.21111111111111153
2000-06-01,KOSPI,821.219970703125,index,ECOS,0.06550802091428176
2000-06-01,Coincident Index,101.7,index,ECOS,0.003956990634584545
2000-06-01,Leading Index,104.2,index,ECOS,-0.0014354066985645675
2000-06-01,Leading–Coincident Spread,2.5,index,ECOS,-0.164682539682539
2000-07-01,KOSPI,705.969970703125,index,ECOS,-0.009135421414742828
2000-07-01,Coincident Index,102.6,index,ECOS,0.005904068701890308
2000-07-01,Leading Index,104.1,index,ECOS,-0.0004798464491362897
2000-07-01,Leading–Coincident Spread,1.5,index,ECOS,-0.2535714285714281
2000-08-01,KOSPI,688.6199951171875,index,ECOS,-0.08245803427729481
2000-08-01,Coincident Index,102.6,index,ECOS,0.004424778761061954
2000-08-01,Leading Index,104.6,index,ECOS,0.001921690534533227
2000-08-01,Leading–Coincident Spread,2.0,index,ECOS,-0.03333333333333338
2000-09-01,KOSPI,613.219970703125,index,ECOS,-0.06703523441041814
2000-09-01,Coincident Index,102.3,index,ECOS,-0.0014619883040935533
2000-09-01,Leading Index,103.7,index,ECOS,-0.0019005662668084566
2000-09-01,Leading–Coincident Spread,1.4000000000000057,index,ECOS,0.01666666666666805
2000-10-01,KOSPI,514.47998046875,index,ECOS,-0.13525663147134093
2000-10-01,Coincident Index,101.7,index,ECOS,-0.0043945396237416445
2000-10-01,Leading Index,102.2,index,ECOS,-0.011534504407662183
2000-10-01,Leading–Coincident Spread,0.5,index,ECOS,-0.47142857142857075
