date,country,value,unit,source
2025-01-01,Australia,53,kb/d,IEA
2025-01-01,Austria,118,kb/d,IEA
2025-01-01,Belgium,173,kb/d,IEA
2025-01-01,Czech Republic,130,kb/d,IEA
2025-01-01,Denmark,321,kb/d,IEA
2025-01-01,Finland,213,kb/d,IEA
2025-01-01,France,114,kb/d,IEA
2025-01-01,Germany,129,kb/d,IEA
2025-01-01,Greece,152,kb/d,IEA
2025-01-01,Hungary,215,kb/d,IEA
2025-01-01,Ireland,115,kb/d,IEA
2025-01-01,Italy,128,kb/d,IEA
2025-01-01,Japan,198,kb/d,IEA
2025-01-01,Korea,208,kb/d,IEA
2025-01-01,Latvia,106,kb/d,IEA
2025-01-01,Lithuania,176,kb/d,IEA
2025-01-01,Luxembourg,102,kb/d,IEA
2025-01-01,Netherlands,458,kb/d,IEA
2025-01-01,New Zealand,91,kb/d,IEA
2025-01-01,Poland,125,kb/d,IEA
2025-01-01,Portugal,116,kb/d,IEA
2025-01-01,Slovak Republic,184,kb/d,IEA
2025-01-01,Spain,105,kb/d,IEA
2025-01-01,Sweden,202,kb/d,IEA
2025-01-01,Switzerland,162,kb/d,IEA
2025-01-01,Total IEA,521,kb/d,IEA
2025-01-01,Total IEA Asia Pacific,167,kb/d,IEA
2025-01-01,Total IEA Europe,131,kb/d,IEA
2025-01-01,Total IEA net importers,140,kb/d,IEA
2025-01-01,Turkiye,97,kb/d,IEA
2025-01-01,United Kingdom,132,kb/d,IEA
2025-02-01,Australia,54,kb/d,IEA
2025-02-01,Austria,121,kb/d,IEA
2025-02-01,Belgium,168,kb/d,IEA
2025-02-01,Czech Republic,132,kb/d,IEA
2025-02-01,Denmark,303,kb/d,IEA
2025-02-01,Finland,214,kb/d,IEA
2025-02-01,France,113,kb/d,IEA
2025-02-01,Germany,128,kb/d,IEA
2025-02-01,Greece,155,kb/d,IEA
2025-02-01,Hungary,218,kb/d,IEA
2025-02-01,Ireland,113,kb/d,IEA
2025-02-01,Italy,134,kb/d,IEA
2025-02-01,Japan,195,kb/d,IEA
2025-02-01,Korea,206,kb/d,IEA
2025-02-01,Latvia,126,kb/d,IEA
2025-02-01,Lithuania,166,kb/d,IEA
2025-02-01,Luxembourg,103,kb/d,IEA
2025-02-01,Netherlands,506,kb/d,IEA
2025-02-01,New Zealand,87,kb/d,IEA
2025-02-01,Poland,121,kb/d,IEA
2025-02-01,Portugal,116,kb/d,IEA
2025-02-01,Slovak Republic,189,kb/d,IEA
2025-02-01,Spain,105,kb/d,IEA
2025-02-01,Sweden,185,kb/d,IEA
2025-02-01,Switzerland,163,kb/d,IEA
2025-02-01,Total IEA,520,kb/d,IEA
2025-02-01,Total IEA Asia Pacific,165,kb/d,IEA
2025-02-01,Total IEA Europe,131,kb/d,IEA
2025-02-01,Total IEA net importers,140,kb/d,IEA
2025-02-01,Turkiye,98,kb/d,IEA
2025-02-01,United Kingdom,130,kb/d,IEA
2025-03-01,Australia,56,kb/d,IEA
2025-03-01,Austria,119,kb/d,IEA
2025-03-01,Belgium,172,kb/d,IEA
2025-03-01,Czech Republic,121,kb/d,IEA
2025-03-01,Denmark,287,kb/d,IEA
2025-03-01,Finland,213,kb/d,IEA
2025-03-01,France,114,kb/d,IEA
2025-03-01,Germany,122,kb/d,IEA
2025-03-01,Greece,164,kb/d,IEA
2025-03-01,Hungary,219,kb/d,IEA
2025-03-01,Ireland,115,kb/d,IEA
2025-03-01,Italy,132,kb/d,IEA
2025-03-01,Japan,199,kb/d,IEA
2025-03-01,Korea,206,kb/d,IEA
2025-03-01,Latvia,123,kb/d,IEA
2025-03-01,Lithuania,165,kb/d,IEA
2025-03-01,Luxembourg,104,kb/d,IEA
2025-03-01,Netherlands,477,kb/d,IEA
2025-03-01,New Zealand,92,kb/d,IEA
2025-03-01,Poland,123,kb/d,IEA
2025-03-01,Portugal,123,kb/d,IEA
2025-03-01,Slovak Republic,185,kb/d,IEA
2025-03-01,Spain,104,kb/d,IEA
2025-03-01,Sweden,186,kb/d,IEA
2025-03-01,Switzerland,159,kb/d,IEA
