date,region,value,metric_type,country_count
2024-01-01,MiddleEast,10647006.0,Value,8
2024-01-01,America,3223864.0,Value,6
2024-01-01,Asia,711424.0,Value,8
2024-01-01,Africa,175558.0,Value,7
2024-01-01,Europe,0.0,Value,3
2024-02-01,MiddleEast,9920768.0,Value,8
2024-02-01,America,3038264.0,Value,6
2024-02-01,Asia,762084.0,Value,8
2024-02-01,Europe,620960.0,Value,3
2024-02-01,Africa,425620.0,Value,7
2024-03-01,MiddleEast,10507302.0,Value,8
2024-03-01,America,2481720.0,Value,6
2024-03-01,Asia,511954.0,Value,8
2024-03-01,Africa,228058.0,Value,7
2024-03-01,Europe,160152.0,Value,3
2024-04-01,MiddleEast,11825774.0,Value,8
2024-04-01,America,2970254.0,Value,6
2024-04-01,Asia,807484.0,Value,8
2024-04-01,Africa,243684.0,Value,7
2024-04-01,Europe,0.0,Value,3
2024-05-01,MiddleEast,10560232.0,Value,8
2024-05-01,America,4189260.0,Value,6
2024-05-01,Asia,610944.0,Value,8
2024-05-01,Africa,341564.0,Value,7
2024-05-01,Europe,0.0,Value,3
2024-06-01,MiddleEast,10335634.0,Value,8
2024-06-01,America,2775212.0,Value,6
2024-06-01,Asia,361564.0,Value,8
2024-06-01,Africa,69096.0,Value,7
2024-06-01,Europe,0.0,Value,3
2024-07-01,MiddleEast,9490946.0,Value,8
2024-07-01,America,4568114.0,Value,6
2024-07-01,Asia,237792.0,Value,8
2024-07-01,Africa,182876.0,Value,7
2024-07-01,Europe,0.0,Value,3
2024-08-01,MiddleEast,10623294.0,Value,8
2024-08-01,America,3766606.0,Value,6
2024-08-01,Asia,1309458.0,Value,8
2024-08-01,Africa,297780.0,Value,7
2024-08-01,Europe,132400.0,Value,3
2024-09-01,MiddleEast,9186264.0,Value,8
2024-09-01,America,2600982.0,Value,6
2024-09-01,Asia,712612.0,Value,8
2024-09-01,Africa,313438.0,Value,7
2024-09-01,Europe,0.0,Value,3
2024-10-01,MiddleEast,9550560.0,Value,8
2024-10-01,America,2994360.0,Value,6
2024-10-01,Asia,353202.0,Value,8
2024-10-01,Europe,315088.0,Value,3
2024-10-01,Africa,312144.0,Value,7
2024-11-01,MiddleEast,9839668.0,Value,8
2024-11-01,America,2252800.0,Value,6
2024-11-01,Asia,448016.0,Value,8
2024-11-01,Africa,319192.0,Value,7
2024-11-01,Europe,116168.0,Value,3
2024-12-01,MiddleEast,8834052.0,Value,8
2024-12-01,America,2515532.0,Value,6
2024-12-01,Asia,594854.0,Value,8
2024-12-01,Africa,164564.0,Value,7
2024-12-01,Europe,0.0,Value,3
2025-01-01,MiddleEast,10327988.0,Value,8
2025-01-01,America,2966910.0,Value,6
2025-01-01,Asia,451200.0,Value,8
2025-01-01,Africa,312596.0,Value,7
2025-01-01,Europe,0.0,Value,3
2025-02-01,MiddleEast,9108354.0,Value,8
2025-02-01,America,2623850.0,Value,6
2025-02-01,Asia,595150.0,Value,8
2025-02-01,Africa,0.0,Value,7
2025-02-01,Europe,0.0,Value,3
2025-03-01,MiddleEast,9281398.0,Value,8
2025-03-01,America,2466724.0,Value,6
2025-03-01,Africa,509230.0,Value,7
2025-03-01,Asia,278522.0,Value,8
2025-03-01,Europe,159722.0,Value,3
2025-04-01,MiddleEast,7712180.0,Value,8
2025-04-01,America,3334600.0,Value,6
2025-04-01,Asia,699654.0,Value,8
2025-04-01,Europe,369262.0,Value,3
2025-04-01,Africa,76950.0,Value,7
2025-05-01,MiddleEast,8298344.0,Value,8
2025-05-01,America,3460026.0,Value,6
2025-05-01,Asia,1088570.0,Value,8
2025-05-01,Africa,497116.0,Value,7
2025-05-01,Europe,84218.0,Value,3
2025-06-01,MiddleEast,7800814.0,Value,8
2025-06-01,America,2976092.0,Value,6
2025-06-01,Asia,725494.0,Value,8
2025-06-01,Africa,64984.0,Value,7
2025-06-01,Europe,0.0,Value,3
