date,region,value,metric_type,country_count
2024-01-01,MiddleEast,129036.0,Volume,8
2024-01-01,America,38222.0,Volume,6
2024-01-01,Asia,8920.0,Volume,8
2024-01-01,Africa,2090.0,Volume,7
2024-01-01,Europe,0.0,Volume,3
2024-02-01,MiddleEast,119856.0,Volume,8
2024-02-01,America,36652.0,Volume,6
2024-02-01,Asia,9112.0,Volume,8
2024-02-01,Europe,7520.0,Volume,3
2024-02-01,Africa,4904.0,Volume,7
2024-03-01,MiddleEast,124700.0,Volume,8
2024-03-01,America,29902.0,Volume,6
2024-03-01,Asia,6122.0,Volume,8
2024-03-01,Africa,2534.0,Volume,7
2024-03-01,Europe,1912.0,Volume,3
2024-04-01,MiddleEast,134828.0,Volume,8
2024-04-01,America,34236.0,Volume,6
2024-04-01,Asia,9166.0,Volume,8
2024-04-01,Africa,2580.0,Volume,7
2024-04-01,Europe,0.0,Volume,3
2024-05-01,MiddleEast,119378.0,Volume,8
2024-05-01,America,46428.0,Volume,6
2024-05-01,Asia,6826.0,Volume,8
2024-05-01,Africa,3696.0,Volume,7
2024-05-01,Europe,0.0,Volume,3
2024-06-01,MiddleEast,119622.0,Volume,8
2024-06-01,America,30754.0,Volume,6
2024-06-01,Asia,4298.0,Volume,8
2024-06-01,Africa,874.0,Volume,7
2024-06-01,Europe,0.0,Volume,3
2024-07-01,MiddleEast,110544.0,Volume,8
2024-07-01,America,52696.0,Volume,6
2024-07-01,Asia,2858.0,Volume,8
2024-07-01,Africa,2094.0,Volume,7
2024-07-01,Europe,0.0,Volume,3
2024-08-01,MiddleEast,128264.0,Volume,8
2024-08-01,America,43740.0,Volume,6
2024-08-01,Asia,15446.0,Volume,8
2024-08-01,Africa,3538.0,Volume,7
2024-08-01,Europe,1602.0,Volume,3
2024-09-01,MiddleEast,116722.0,Volume,8
2024-09-01,America,31824.0,Volume,6
2024-09-01,Asia,8906.0,Volume,8
2024-09-01,Africa,3718.0,Volume,7
2024-09-01,Europe,0.0,Volume,3
2024-10-01,MiddleEast,124264.0,Volume,8
2024-10-01,America,37704.0,Volume,6
2024-10-01,Asia,4548.0,Volume,8
2024-10-01,Europe,4124.0,Volume,3
2024-10-01,Africa,3880.0,Volume,7
2024-11-01,MiddleEast,128840.0,Volume,8
2024-11-01,America,29176.0,Volume,6
2024-11-01,Asia,5740.0,Volume,8
2024-11-01,Africa,4038.0,Volume,7
2024-11-01,Europe,1542.0,Volume,3
2024-12-01,MiddleEast,116328.0,Volume,8
2024-12-01,America,32748.0,Volume,6
2024-12-01,Asia,7738.0,Volume,8
2024-12-01,Africa,1998.0,Volume,7
2024-12-01,Europe,0.0,Volume,3
2025-01-01,MiddleEast,131239.48,Volume,8
2025-01-01,America,38252.0,Volume,6
2025-01-01,Asia,5764.0,Volume,8
2025-01-01,Africa,4002.0,Volume,7
2025-01-01,Europe,0.0,Volume,3
2025-02-01,MiddleEast,113655.2,Volume,8
2025-02-01,America,32244.0,Volume,6
2025-02-01,Asia,7368.0,Volume,8
2025-02-01,Africa,0.0,Volume,7
2025-02-01,Europe,0.0,Volume,3
2025-03-01,MiddleEast,118004.0,Volume,8
2025-03-01,America,30634.0,Volume,6
2025-03-01,Africa,6340.0,Volume,7
2025-03-01,Asia,3604.0,Volume,8
2025-03-01,Europe,1992.0,Volume,3
2025-04-01,MiddleEast,102472.0,Volume,8
2025-04-01,America,43840.0,Volume,6
2025-04-01,Asia,9136.0,Volume,8
2025-04-01,Europe,4880.0,Volume,3
2025-04-01,Africa,1024.0,Volume,7
2025-05-01,MiddleEast,118450.0,Volume,8
2025-05-01,America,48288.0,Volume,6
2025-05-01,Asia,15368.0,Volume,8
2025-05-01,Africa,6911.0,Volume,7
2025-05-01,Europe,1112.0,Volume,3
2025-06-01,MiddleEast,112768.0,Volume,8
2025-06-01,America,44154.0,Volume,6
2025-06-01,Asia,10530.0,Volume,8
2025-06-01,Africa,1020.0,Volume,7
2025-06-01,Europe,0.0,Volume,3
