date,region,country,value,unit,sector,source
2024-01-01,Africa,Africa,1.19,percentage,energy,PETRONET
2024-01-01,Africa,Africa,1045.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Africa,87779.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Africa,16.802,USD/bbl,energy,PETRONET
2024-01-01,Africa,Algeria,1045.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Algeria,87779.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Algeria,84.01,USD/bbl,energy,PETRONET
2024-01-01,Africa,Congo,0.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Congo,0.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Congo,0.0,USD/bbl,energy,PETRONET
2024-01-01,Africa,Equatorial Guinea,0.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Equatorial Guinea,0.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Equatorial Guinea,0.0,USD/bbl,energy,PETRONET
2024-01-01,Africa,Gabon,0.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Gabon,0.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Gabon,0.0,USD/bbl,energy,PETRONET
2024-01-01,Africa,Mozambique,0.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Mozambique,0.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Mozambique,0.0,USD/bbl,energy,PETRONET
2024-01-01,Africa,Nigeria,0.0,thousand bbl,energy,PETRONET
2024-01-01,Africa,Nigeria,0.0,thousand USD,energy,PETRONET
2024-01-01,Africa,Nigeria,0.0,USD/bbl,energy,PETRONET
2024-01-01,America,America,21.85,percentage,energy,PETRONET
2024-01-01,America,America,19111.0,thousand bbl,energy,PETRONET
2024-01-01,America,America,1611932.0,thousand USD,energy,PETRONET
2024-01-01,America,America,49.71,USD/bbl,energy,PETRONET
2024-01-01,America,Brazil,947.0,thousand bbl,energy,PETRONET
2024-01-01,America,Brazil,80334.0,thousand USD,energy,PETRONET
2024-01-01,America,Brazil,84.86,USD/bbl,energy,PETRONET
2024-01-01,America,Canada,0.0,thousand bbl,energy,PETRONET
2024-01-01,America,Canada,0.0,thousand USD,energy,PETRONET
2024-01-01,America,Canada,0.0,USD/bbl,energy,PETRONET
2024-01-01,America,Ecuador,0.0,thousand bbl,energy,PETRONET
2024-01-01,America,Ecuador,0.0,thousand USD,energy,PETRONET
2024-01-01,America,Ecuador,0.0,USD/bbl,energy,PETRONET
2024-01-01,America,Mexico,3945.0,thousand bbl,energy,PETRONET
2024-01-01,America,Mexico,305629.0,thousand USD,energy,PETRONET
