date,country,value,unit,source,month
2025-04-01,Netherlands,660,kb/d,IEA,4
2025-04-01,Denmark,341,kb/d,IEA,4
2025-04-01,Finland,286,kb/d,IEA,4
2025-04-01,Hungary,214,kb/d,IEA,4
2025-04-01,Japan,206,kb/d,IEA,4
2025-04-01,Korea,204,kb/d,IEA,4
2025-04-01,Sweden,179,kb/d,IEA,4
2025-04-01,Belgium,172,kb/d,IEA,4
2025-04-01,Slovak Republic,170,kb/d,IEA,4
2025-04-01,Switzerland,160,kb/d,IEA,4
2025-04-01,Lithuania,158,kb/d,IEA,4
2025-04-01,Greece,145,kb/d,IEA,4
2025-04-01,Italy,138,kb/d,IEA,4
2025-04-01,Germany,127,kb/d,IEA,4
2025-04-01,United Kingdom,121,kb/d,IEA,4
2025-04-01,Austria,121,kb/d,IEA,4
2025-04-01,Poland,121,kb/d,IEA,4
2025-04-01,Latvia,121,kb/d,IEA,4
2025-04-01,Portugal,119,kb/d,IEA,4
2025-04-01,France,116,kb/d,IEA,4
2025-04-01,Czech Republic,115,kb/d,IEA,4
2025-04-01,Luxembourg,102,kb/d,IEA,4
2025-04-01,Ireland,100,kb/d,IEA,4
2025-04-01,Spain,99,kb/d,IEA,4
2025-04-01,Turkiye,97,kb/d,IEA,4
2025-04-01,New Zealand,94,kb/d,IEA,4
2025-04-01,Australia,50,kb/d,IEA,4
