country,volatility,avg_stock,data_points
Netherlands,91.97599324461429,525.25,4
Finland,36.33639130862245,231.5,4
Denmark,23.266571155486865,313.0,4
Sweden,9.83192080250175,188.0,4
Latvia,8.906926143924926,119.0,4
Slovak Republic,8.286535263104035,182.0,4
Czech Republic,7.937253933193774,124.5,4
Greece,7.874007874011811,154.0,4
Lithuania,7.41057802513857,166.25,4
Ireland,7.228416147400479,110.75,4
United Kingdom,4.7958315233127164,127.5,4
Japan,4.654746681256311,199.5,4
Italy,4.1633319989322635,133.0,4
Portugal,3.3166247903554016,118.5,4
Germany,3.1091263510296034,126.5,4
New Zealand,2.943920288775949,91.0,4
Spain,2.872281323269016,103.25,4
Australia,2.5,53.25,4
Hungary,2.3804761428476167,216.5,4
Belgium,2.217355782608345,171.25,4
Poland,1.9148542155126762,122.5,4
Switzerland,1.8257418583505576,161.0,4
Korea,1.6329931618554492,206.0,4
Austria,1.5000000000000004,119.75,4
France,1.2583057392117902,114.25,4
Luxembourg,0.9574271077563381,102.75,4
Turkiye,0.5773502691896257,97.5,4
