date,BDI,CCFI,HRCI,SCFI
2024-01-02,2093.0,,,
2024-01-03,2091.0,,,
2024-01-04,2086.0,,,
2024-01-05,2110.0,936.83,,1896.65
2024-01-08,2022.0,,,
2024-01-09,1875.0,,,
2024-01-10,1664.0,,,
2024-01-11,1554.0,,,
2024-01-12,1460.0,1140.31,,2206.03
2024-01-15,1360.0,,,
2024-01-16,1324.0,,,
2024-01-17,1308.0,,,
2024-01-18,1357.0,,,
2024-01-19,1503.0,1287.49,,2239.61
2024-01-22,1518.0,,,
2024-01-23,1473.0,,,
2024-01-24,1507.0,,,
2024-01-25,1499.0,,,
2024-01-26,1518.0,1403.0,,2179.09
2024-01-29,1460.0,,,
2024-01-30,1397.0,,,
2024-01-31,1398.0,,,
2024-02-01,1388.0,,,
2024-02-02,1407.0,1464.81,,2217.73
2024-02-05,1436.0,,,
2024-02-06,1516.0,,,
2024-02-07,1487.0,,,
2024-02-08,1473.0,,,
2024-02-09,1545.0,1455.19,,2166.31
2024-02-12,1572.0,,,
2024-02-13,1585.0,,,
2024-02-14,1582.0,,,
2024-02-15,1581.0,,,
2024-02-16,1610.0,,,
2024-02-19,1629.0,,,
2024-02-20,1632.0,,,
2024-02-21,1676.0,,,
2024-02-22,1752.0,,,
2024-02-23,1866.0,1402.22,,2109.91
2024-02-24,1871.0,,,
2024-02-27,1899.0,,,
2024-02-28,2041.0,,,
2024-02-29,2111.0,,,
2024-03-01,2203.0,1352.4,,1979.12
2024-03-04,2297.0,,,
2024-03-05,2291.0,,,
2024-03-06,2176.0,,,
2024-03-07,2251.0,,,
2024-03-08,2345.0,1312.13,,1885.74
2024-03-11,2377.0,,,
2024-03-12,2315.0,,,
2024-03-13,2370.0,,460.0,
2024-03-14,2350.0,,,
2024-03-15,2374.0,1278.28,,1772.92
2024-03-18,2419.0,,,
2024-03-19,2392.0,,,
2024-03-20,2284.0,,463.0,
2024-03-21,2240.0,,,
2024-03-22,2196.0,1244.83,,1732.57
2024-03-25,2123.0,,,
2024-03-26,1989.0,,,
2024-03-27,1845.0,,460.0,
2024-03-28,1821.0,,,
2024-03-29,,1208.42,,1730.98
2024-04-02,1714.0,,,
2024-04-03,1711.0,1191.37,454.0,1745.43
2024-04-04,1669.0,,,
2024-04-05,1628.0,,,
2024-04-08,1594.0,,,
2024-04-09,1570.0,,,
2024-04-10,1587.0,,451.0,
2024-04-11,1690.0,,,
2024-04-12,1729.0,1185.13,,1757.04
2024-04-15,1730.0,,,
2024-04-16,1779.0,,,
2024-04-17,1844.0,,449.0,
2024-04-18,1901.0,,,
2024-04-19,1919.0,1186.53,,1769.54
2024-04-22,1882.0,,,
2024-04-23,1804.0,,,
2024-04-24,1774.0,,452.0,
2024-04-25,1743.0,,,
2024-04-26,1721.0,1193.64,,1940.63
2024-04-29,1684.0,,,
2024-04-30,1685.0,,,
2024-05-01,1688.0,,1420.0,
2024-05-02,1774.0,,,
2024-05-03,1876.0,,,
2024-05-07,2083.0,,,
2024-05-08,2203.0,,1440.0,
2024-05-09,2166.0,,,
2024-05-10,2129.0,1237.84,,2305.79
2024-05-13,2066.0,,,
2024-05-14,1993.0,,,
2024-05-15,1889.0,,1500.0,
2024-05-16,1817.0,,,
2024-05-17,1844.0,1311.85,,2520.76
2024-05-20,1847.0,,,
2024-05-21,1829.0,,,
2024-05-22,1804.0,,1533.0,
2024-05-23,1796.0,,,
2024-05-24,1797.0,1389.16,,2703.43
2024-05-27,1797.0,,,
2024-05-28,1784.0,,,
2024-05-29,1790.0,,1628.0,
2024-05-30,1801.0,,,
2024-05-31,1815.0,1495.98,,3044.77
2024-06-03,1808.0,,,
2024-06-04,1813.0,,,
2024-06-05,1852.0,,1677.0,
2024-06-06,1869.0,,,
2024-06-07,1881.0,1592.57,,3184.87
2024-06-10,1883.0,,,
2024-06-11,1831.0,,,
2024-06-12,1836.0,,1806.0,
2024-06-13,1942.0,,,
2024-06-14,1948.0,1733.47,,3379.22
2024-06-17,1948.0,,,
2024-06-18,1961.0,,,
2024-06-19,1943.0,,1879.0,
2024-06-20,1984.0,,,
2024-06-21,1997.0,1829.22,,3475.6
2024-06-24,1973.0,,,
2024-06-25,1926.0,,,
2024-06-26,1964.0,,2057.0,
2024-06-27,2031.0,,,
2024-06-28,2050.0,1922.46,,3714.32
2024-07-01,2158.0,,,
2024-07-02,2179.0,,,
2024-07-03,2064.0,,2091.0,
2024-07-04,2021.0,,,
2024-07-05,1966.0,2011.33,,3733.8
2024-07-08,1940.0,,,
2024-07-09,1894.0,,,
2024-07-10,1939.0,,2091.0,
2024-07-11,1947.0,,,
2024-07-12,1997.0,2085.05,,3674.86
2024-07-15,1993.0,,,
2024-07-16,1942.0,,,
2024-07-17,1890.0,,2091.0,
2024-07-18,1912.0,,,
2024-07-19,1902.0,2153.56,,3542.44
2024-07-22,1896.0,,,
2024-07-23,1869.0,,,
2024-07-24,1864.0,,2102.0,
2024-07-25,1834.0,,,
2024-07-26,1808.0,2180.69,,3447.87
2024-07-29,1797.0,,,
2024-07-30,1762.0,,,
2024-07-31,1708.0,,2104.0,
2024-08-01,1668.0,,,
2024-08-02,1675.0,2133.48,,3332.67
2024-08-05,1677.0,,,
2024-08-06,1685.0,,,
2024-08-07,1698.0,,2096.0,
2024-08-08,1683.0,,,
2024-08-09,1670.0,2138.32,,3253.89
2024-08-12,1655.0,,,
2024-08-13,1670.0,,,
2024-08-14,1728.0,,2096.0,
2024-08-15,1692.0,,,
2024-08-16,1691.0,2073.41,,3281.36
2024-08-19,1708.0,,,
2024-08-20,1735.0,,,
2024-08-21,1759.0,,2096.0,
2024-08-22,1768.0,,,
2024-08-23,1762.0,2019.27,,3097.63
2024-08-27,1721.0,,,
2024-08-28,1755.0,,2094.0,
2024-08-29,1827.0,,,
2024-08-30,1814.0,1974.46,,2963.38
2024-09-02,1919.0,,,
2024-09-03,1947.0,,,
2024-09-04,1902.0,,2101.0,
2024-09-05,1919.0,,,
2024-09-06,1941.0,1912.46,,2726.58
2024-09-09,1958.0,,,
2024-09-10,1941.0,,,
2024-09-11,1963.0,,2072.0,
2024-09-13,1890.0,1818.31,,2510.95
2024-09-16,1896.0,,,
2024-09-17,1901.0,,,
2024-09-18,1890.0,,2059.0,
2024-09-19,1976.0,,,
2024-09-20,1977.0,1742.19,,2366.24
2024-09-23,1999.0,,,
2024-09-24,2014.0,,,
2024-09-25,2016.0,,2059.0,
2024-09-26,2091.0,,,
2024-09-27,2110.0,1638.42,,2135.08
2024-09-30,2084.0,,,
2024-10-01,2084.0,,,
2024-10-02,1978.0,,2041.0,
2024-10-03,1941.0,,,
2024-10-04,1928.0,,,
2024-10-07,1907.0,,,
2024-10-08,1860.0,,,
2024-10-09,1799.0,,2033.0,
2024-10-10,1790.0,,,
2024-10-11,1809.0,1476.98,,2062.57
2024-10-14,1814.0,,,
2024-10-15,1766.0,,,
2024-10-16,1676.0,,2096.0,
2024-10-17,1594.0,,,
2024-10-18,1576.0,1405.22,,2062.15
2024-10-21,1546.0,,,
2024-10-22,1480.0,,,
2024-10-23,1445.0,,2119.0,
2024-10-24,1417.0,,,
2024-10-25,1410.0,1366.4,,2185.33
2024-10-28,1382.0,,,
2024-10-29,1402.0,,,
2024-10-30,1395.0,,2123.0,
2024-10-31,1388.0,,,
2024-11-01,1378.0,1367.54,,2303.44
2024-11-04,1374.0,,,
2024-11-05,1405.0,,,
2024-11-06,1427.0,,2150.0,
2024-11-07,1451.0,,,
2024-11-08,1495.0,1388.22,,2331.58
2024-11-11,1558.0,,,
2024-11-12,1634.0,,,
2024-11-13,1630.0,,2192.0,
2024-11-14,1692.0,,,
2024-11-15,1785.0,1438.97,,2251.9
2024-11-18,1756.0,,,
