date,category,value,source
2020-01-01,Equipment Investment Index,90.7,ECOS
2020-01-01,Manufacturing Inventory Ratio,101.0,ECOS
2020-02-01,Equipment Investment Index,99.9,ECOS
2020-02-01,Manufacturing Inventory Ratio,106.2,ECOS
2020-03-01,Equipment Investment Index,100.0,ECOS
2020-03-01,Manufacturing Inventory Ratio,98.2,ECOS
2020-04-01,Equipment Investment Index,100.2,ECOS
2020-04-01,Manufacturing Inventory Ratio,105.0,ECOS
2020-05-01,Equipment Investment Index,96.4,ECOS
2020-05-01,Manufacturing Inventory Ratio,114.7,ECOS
2020-06-01,Equipment Investment Index,100.8,ECOS
2020-06-01,Manufacturing Inventory Ratio,105.3,ECOS
2020-07-01,Equipment Investment Index,103.0,ECOS
2020-07-01,Manufacturing Inventory Ratio,102.6,ECOS
2020-08-01,Equipment Investment Index,96.4,ECOS
2020-08-01,Manufacturing Inventory Ratio,103.2,ECOS
2020-09-01,Equipment Investment Index,113.9,ECOS
2020-09-01,Manufacturing Inventory Ratio,96.0,ECOS
2020-10-01,Equipment Investment Index,94.9,ECOS
2020-10-01,Manufacturing Inventory Ratio,93.5,ECOS
2020-11-01,Equipment Investment Index,98.5,ECOS
2020-11-01,Manufacturing Inventory Ratio,93.0,ECOS
2020-12-01,Equipment Investment Index,105.4,ECOS
2020-12-01,Manufacturing Inventory Ratio,94.3,ECOS
2021-01-01,Equipment Investment Index,111.7,ECOS
2021-01-01,Manufacturing Inventory Ratio,94.6,ECOS
2021-02-01,Equipment Investment Index,106.8,ECOS
2021-02-01,Manufacturing Inventory Ratio,93.4,ECOS
2021-03-01,Equipment Investment Index,109.1,ECOS
2021-03-01,Manufacturing Inventory Ratio,93.1,ECOS
2021-04-01,Equipment Investment Index,118.2,ECOS
2021-04-01,Manufacturing Inventory Ratio,92.6,ECOS
2021-05-01,Equipment Investment Index,107.4,ECOS
2021-05-01,Manufacturing Inventory Ratio,93.8,ECOS
2021-06-01,Equipment Investment Index,114.8,ECOS
2021-06-01,Manufacturing Inventory Ratio,92.5,ECOS
2021-07-01,Equipment Investment Index,118.6,ECOS
2021-07-01,Manufacturing Inventory Ratio,93.8,ECOS
2021-08-01,Equipment Investment Index,109.8,ECOS
2021-08-01,Manufacturing Inventory Ratio,99.6,ECOS
2021-09-01,Equipment Investment Index,104.3,ECOS
2021-09-01,Manufacturing Inventory Ratio,102.2,ECOS
2021-10-01,Equipment Investment Index,98.9,ECOS
