date,region,value,vs_world
2025-01-01,Africa,4.1,6.3
2025-01-01,Asia and Oceania,-1.9,0.30000000000000027
2025-01-01,Brazil,0.5,2.7
2025-01-01,China,-3.0,-0.7999999999999998
2025-01-01,European Union (27),-3.3,-1.0999999999999996
2025-01-01,Germany,-11.6,-9.399999999999999
2025-01-01,India,9.2,11.399999999999999
2025-01-01,Iran,-10.3,-8.100000000000001
2025-01-01,Japan,-5.0,-2.8
2025-01-01,Middle East,-5.4,-3.2
2025-01-01,North America,-0.6,1.6
2025-01-01,Other Europe,-7.1,-4.8999999999999995
2025-01-01,Russia,-5.6,-3.3999999999999995
2025-01-01,Russia & other CIS (4) + Ukraine,-5.4,-3.2
2025-01-01,South America,-0.4,1.8000000000000003
2025-01-01,South Korea,-2.8,-0.5999999999999996
2025-01-01,Turkey,-1.7,0.5000000000000002
2025-01-01,United States,0.8,3.0
2025-01-01,World,-2.2,0.0
