commodity_name_en,export_amount,trade_yoy
Drawing Boards & Instruments,138734.0,13873300.0
Ammonium sulfate,3422346.0,1849816.7567567567
Fish Fats & Oils,469800.0,1118471.4285714286
Heavy equipment (>2T),5075000.0,319082.3899371069
Methyldiethanolamine & Ethyldiethanolamine,82930.0,243811.7647058824
Others Type: 581,207932.0,205773.2673267327
Peppermint oil,141482.0,152031.1827956989
Table linen,10578.0,151014.2857142857
Others Type: 739,29131.0,100351.724137931
Recycled fiber blends,30006.0,90827.2727272727
