commodity_name_en,import_amount,trade_yoy
Crude petroleum oil,5624730853.0,81721.7037866927
Processors and controllers,2711653244.0,13.2253002736
Memory chips,1432489465.0,-5.8178300594
Semiconductor manufacturing equipment,1291362671.0,37.7844986846
Light oils,1197875690.0,-6.4360175239
Others Type: 1,930111326.0,37.867194503
Bituminous coal,801477754.0,9.9534010726
Copper ores and concentrates,668837031.0,102.0273936455
Machinery parts (HS8471),638695462.0,16.6193499206
Uncondensed materials,551060170.0,22.9413573008
