date,partner,Total Exports,Total Imports,trade_balance
2020-01-01,Australia,553671.0,0.0,553671.0
2020-01-01,Canada,435432.0,0.0,435432.0
2020-01-01,China,9642031.0,9428226.0,213805.0
2020-01-01,France,0.0,539168.0,-539168.0
2020-01-01,Germany,728795.0,0.0,728795.0
2020-01-01,India,0.0,566832.0,-566832.0
2020-01-01,Indonesia,588782.0,682743.0,-93961.0
2020-01-01,Italy,0.0,557214.0,-557214.0
2020-01-01,Malaysia,0.0,969919.0,-969919.0
2020-01-01,Philippines,715652.0,0.0,715652.0
2020-01-01,Russia,523531.0,0.0,523531.0
2020-01-01,Singapore,0.0,884791.0,-884791.0
2020-01-01,Thailand,605976.0,430110.0,175866.0
2020-01-01,United Arab Emirates,0.0,889129.0,-889129.0
2020-01-01,United States,5740347.0,5577076.0,163271.0
2020-01-01,World,43103061.0,0.0,43103061.0
2020-02-01,Australia,459049.0,0.0,459049.0
2020-02-01,Canada,383705.0,0.0,383705.0
2020-02-01,China,8824933.0,5553041.0,3271892.0
2020-02-01,France,0.0,421047.0,-421047.0
2020-02-01,Germany,592074.0,0.0,592074.0
2020-02-01,India,0.0,515487.0,-515487.0
2020-02-01,Indonesia,601157.0,679343.0,-78186.0
2020-02-01,Italy,0.0,499636.0,-499636.0
2020-02-01,Malaysia,0.0,841727.0,-841727.0
2020-02-01,Philippines,639404.0,0.0,639404.0
2020-02-01,Russia,540899.0,0.0,540899.0
2020-02-01,Singapore,0.0,567146.0,-567146.0
2020-02-01,Thailand,646412.0,445459.0,200953.0
2020-02-01,United Arab Emirates,0.0,968636.0,-968636.0
2020-02-01,United States,5931572.0,5435012.0,496560.0
2020-02-01,World,40911819.0,0.0,40911819.0
2020-03-01,Australia,572797.0,0.0,572797.0
2020-03-01,Canada,527050.0,0.0,527050.0
2020-03-01,China,10643503.0,8955781.0,1687722.0
2020-03-01,France,0.0,499318.0,-499318.0
2020-03-01,Germany,891397.0,0.0,891397.0
2020-03-01,India,0.0,499807.0,-499807.0
