date,Americas,Asia Pacific,Europe,Japan,World
1986-01-01,555850.0,105050.0,346467.0,638547.0,1645914.0
1986-02-01,633465.0,115746.0,401765.0,750366.0,1901342.0
1986-03-01,756220.0,147968.0,461912.0,840215.0,2206315.0
1986-04-01,689470.0,156420.0,436798.0,838082.0,2120770.0
1986-05-01,718336.0,167537.0,446171.0,870515.0,2202559.0
1986-06-01,797014.0,185026.0,472555.0,922481.0,2377076.0
1986-07-01,707784.0,186067.0,439444.0,996881.0,2330176.0
1986-08-01,697506.0,187628.0,426172.0,914476.0,2225782.0
1986-09-01,803392.0,208132.0,507467.0,971103.0,2490094.0
1986-10-01,702111.0,196243.0,493835.0,949854.0,2342043.0
1986-11-01,673104.0,191042.0,431645.0,875638.0,2171429.0
1986-12-01,774305.0,205455.0,479532.0,882567.0,2341859.0
1987-01-01,662316.0,189473.0,446216.0,839651.0,2137656.0
1987-02-01,695384.0,218174.0,460982.0,885850.0,2260390.0
1987-03-01,879953.0,258402.0,551635.0,947246.0,2637236.0
1987-04-01,783070.0,270392.0,483195.0,937335.0,2473992.0
1987-05-01,819071.0,285919.0,522679.0,980361.0,2608030.0
1987-06-01,934011.0,307717.0,542275.0,1064083.0,2848086.0
1987-07-01,851790.0,299726.0,459319.0,1093292.0,2704127.0
1987-08-01,875491.0,290902.0,456098.0,1000056.0,2622547.0
1987-09-01,996212.0,300332.0,587787.0,1157494.0,3041825.0
1987-10-01,896818.0,296872.0,538082.0,1190420.0,2922192.0
1987-11-01,879017.0,304696.0,559245.0,1271073.0,3014031.0
1987-12-01,986071.0,328760.0,580580.0,1364929.0,3260340.0
1988-01-01,905615.0,333531.0,549355.0,1287746.0,3076247.0
1988-02-01,960564.0,353147.0,619132.0,1318583.0,3251426.0
1988-03-01,1128942.0,425174.0,755057.0,1400992.0,3710165.0
1988-04-01,1016859.0,413350.0,646877.0,1443163.0,3520249.0
1988-05-01,1081031.0,417382.0,666687.0,1443800.0,3608900.0
1988-06-01,1248108.0,473157.0,766987.0,1596692.0,4084944.0
1988-07-01,1119216.0,449794.0,586428.0,1534711.0,3690149.0
