date,country,yoy_change
1986-07-01,Americas,
1987-07-01,Americas,20.575133950445412
1988-07-01,Americas,30.790264039978155
1989-07-01,Americas,10.515656534039252
1990-07-01,Americas,-2.5868035243021503
1991-07-01,Americas,6.443806442131184
1992-07-01,Americas,19.734840816106747
1993-07-01,Americas,34.39973893521808
1994-07-01,Americas,35.6352050969269
1995-07-01,Americas,40.036475034284734
1996-07-01,Americas,-9.190611386389625
1997-07-01,Americas,7.431937980950631
1998-07-01,Americas,-9.637692124389108
1999-07-01,Americas,14.592500478978465
2000-07-01,Americas,34.949915623865266
2001-07-01,Americas,-44.15843746969688
2002-07-01,Americas,-12.585708021767738
2003-07-01,Americas,3.3739053764072047
2004-07-01,Americas,20.828103780798692
2005-07-01,Americas,4.277640469428157
2006-07-01,Americas,10.252248457620272
2007-07-01,Americas,-5.734831332583202
2008-07-01,Americas,-10.52464147596519
2009-07-01,Americas,1.6876131732120658
2010-07-01,Americas,39.34476274005241
2011-07-01,Americas,2.8356871978606035
2012-07-01,Americas,-1.519294001708127
2013-07-01,Americas,13.128872613328157
2014-07-01,Americas,12.729927999123047
2015-07-01,Americas,-0.8451624299948612
2016-07-01,Americas,-4.6559996310625245
2017-07-01,Americas,35.02731573651645
2018-07-01,Americas,16.389531694878954
2019-07-01,Americas,-23.668339246164148
2020-07-01,Americas,21.30084289170555
2021-07-01,Americas,27.384214309907517
2022-07-01,Americas,16.179126878695026
2023-07-01,Americas,-4.788740150348081
2024-07-01,Americas,45.20494225074503
2025-07-01,Americas,-54.0369861073997
1986-07-01,Asia Pacific,
1987-07-01,Asia Pacific,63.29689316547078
1988-07-01,Asia Pacific,60.35594451812918
1989-07-01,Asia Pacific,8.809881742345205
1990-07-01,Asia Pacific,18.198648805331995
1991-07-01,Asia Pacific,18.36841758028076
1992-07-01,Asia Pacific,29.412532595587848
1993-07-01,Asia Pacific,33.81895860613528
1994-07-01,Asia Pacific,35.33299817176256
1995-07-01,Asia Pacific,54.059123602112045
1996-07-01,Asia Pacific,-6.735571052426059
1997-07-01,Asia Pacific,9.560201976087868
1998-07-01,Asia Pacific,-4.4104557752131734
1999-07-01,Asia Pacific,28.87591606385962
2000-07-01,Asia Pacific,37.864585322299995
2001-07-01,Asia Pacific,-22.32347113268476
2002-07-01,Asia Pacific,28.467131947823
2003-07-01,Asia Pacific,22.84574024924213
2004-07-01,Asia Pacific,41.27585518477286
2005-07-01,Asia Pacific,16.456023930946117
2006-07-01,Asia Pacific,12.661021461545596
2007-07-01,Asia Pacific,6.018522628207257
2008-07-01,Asia Pacific,0.3907225833218897
2009-07-01,Asia Pacific,-3.5057990122406735
2010-07-01,Asia Pacific,33.768546772439855
2011-07-01,Asia Pacific,2.502723149041808
2012-07-01,Asia Pacific,-0.637452741247968
2013-07-01,Asia Pacific,7.009933528437262
2014-07-01,Asia Pacific,11.364124568877898
2015-07-01,Asia Pacific,3.5219322387297636
2016-07-01,Asia Pacific,3.6426059434395475
2017-07-01,Asia Pacific,19.39874443434684
2018-07-01,Asia Pacific,13.681398176997606
2019-07-01,Asia Pacific,-8.832614840051233
2020-07-01,Asia Pacific,5.10078519856656
2021-07-01,Asia Pacific,26.541037392633136
2022-07-01,Asia Pacific,-3.507726267069333
2023-07-01,Asia Pacific,-12.371860122248268
2024-07-01,Asia Pacific,16.359917852048177
2025-07-01,Asia Pacific,-54.80583086966555
1986-07-01,Europe,
1987-07-01,Europe,15.800289047250038
1988-07-01,Europe,30.959263217278732
1989-07-01,Europe,10.324448248931596
1990-07-01,Europe,7.360521631637917
1991-07-01,Europe,5.378119428243644
1992-07-01,Europe,13.401747527894603
1993-07-01,Europe,27.275093832592813
1994-07-01,Europe,35.1893123075981
1995-07-01,Europe,42.877294283093306
1996-07-01,Europe,-2.2578405293583015
1997-07-01,Europe,5.539549413505673
1998-07-01,Europe,1.091365098985353
1999-07-01,Europe,8.41660810771474
2000-07-01,Europe,32.70779894178632
2001-07-01,Europe,-28.58183603147486
2002-07-01,Europe,-8.03470223620616
2003-07-01,Europe,16.271300779002694
2004-07-01,Europe,22.018255262313936
2005-07-01,Europe,-0.37790814914622217
2006-07-01,Europe,1.6019852556615755
2007-07-01,Europe,2.674409352870888
2008-07-01,Europe,-6.643742618349869
2009-07-01,Europe,-21.920252159198895
2010-07-01,Europe,27.418924354622188
2011-07-01,Europe,-1.7413717470949663
2012-07-01,Europe,-11.307819353437655
2013-07-01,Europe,5.187680021715768
2014-07-01,Europe,7.383158478455831
2015-07-01,Europe,-8.546331885177306
2016-07-01,Europe,-4.526918877622821
2017-07-01,Europe,17.13636105696663
2018-07-01,Europe,12.125770373056156
2019-07-01,Europe,-7.3118622348024465
2020-07-01,Europe,-5.767502485742382
2021-07-01,Europe,27.284606371909348
2022-07-01,Europe,12.765375686889424
2023-07-01,Europe,3.5460626795010164
2024-07-01,Europe,-8.092416636231192
2025-07-01,Europe,-58.610622885545574
1986-07-01,Japan,
1987-07-01,Japan,21.826858902133583
1988-07-01,Japan,42.23274967620421
1989-07-01,Japan,5.726439253897619
1990-07-01,Japan,2.1798765606781956
1991-07-01,Japan,7.012594158691576
1992-07-01,Japan,-7.3507574564488865
1993-07-01,Japan,22.696655072937787
1994-07-01,Japan,23.564457390979587
1995-07-01,Japan,34.89153991881142
1996-07-01,Japan,-13.843962780144148
1997-07-01,Japan,-6.1326714427759494
1998-07-01,Japan,-19.197268201737806
1999-07-01,Japan,26.67364478793406
2000-07-01,Japan,42.376147084322604
2001-07-01,Japan,-29.094590970320745
2002-07-01,Japan,-8.007064719047097
2003-07-01,Japan,27.705927477092928
2004-07-01,Japan,17.49904910344553
2005-07-01,Japan,-3.659898187610078
2006-07-01,Japan,5.299570725606495
2007-07-01,Japan,5.228726882919532
2008-07-01,Japan,-0.7109240370563374
2009-07-01,Japan,-21.027719671203272
2010-07-01,Japan,21.5685184047965
2011-07-01,Japan,-7.856770041693051
2012-07-01,Japan,-4.304807705082602
2013-07-01,Japan,-15.248673290705728
2014-07-01,Japan,0.10084130989780338
2015-07-01,Japan,-10.704565948687517
2016-07-01,Japan,3.8262532653135173
2017-07-01,Japan,13.32644431033465
2018-07-01,Japan,9.197801544082651
2019-07-01,Japan,-9.930723951176146
2020-07-01,Japan,1.3289642793132161
2021-07-01,Japan,19.785461794716607
2022-07-01,Japan,10.234312994872209
2023-07-01,Japan,-2.92110110991588
2024-07-01,Japan,-0.02610825712026088
2025-07-01,Japan,-60.48745886945173
1986-07-01,World,
1987-07-01,World,23.430122883167705
1988-07-01,World,38.34670664889623
1989-07-01,World,8.350478723284894
1990-07-01,World,3.6011087603725844
1991-07-01,World,8.09304915630442
1992-07-01,World,9.627813814575582
1993-07-01,World,29.140124010443635
1994-07-01,World,31.77986467179965
1995-07-01,World,41.74094551933987
1996-07-01,World,-8.61283376841342
1997-07-01,World,3.9681970033106584
1998-07-01,World,-8.448146805990998
1999-07-01,World,18.920606462126276
2000-07-01,World,36.829298203595506
2001-07-01,World,-32.01225754484523
2002-07-01,World,1.2598424856873347
2003-07-01,World,18.27275626785012
2004-07-01,World,28.00130258867386
2005-07-01,World,6.786610209053667
2006-07-01,World,8.893831572968104
2007-07-01,World,3.2008989416368205
2008-07-01,World,-2.754803218824975
2009-07-01,World,-8.965886516199184
2010-07-01,World,31.815066989901062
2011-07-01,World,0.40434525082646555
2012-07-01,World,-2.6573138505410876
2013-07-01,World,4.8091803531841615
2014-07-01,World,9.902045416900673
2015-07-01,World,-0.2010034947379835
2016-07-01,World,1.1227192215783388
2017-07-01,World,21.62390585536982
2018-07-01,World,13.7201522201162
2019-07-01,World,-12.046485685658414
2020-07-01,World,6.81103731798125
2021-07-01,World,26.22750843130046
2022-07-01,World,3.2725175356471903
2023-07-01,World,-8.221576119547368
2024-07-01,World,19.67471030347823
2025-07-01,World,-55.298311134478986
